word,class_type,open_count,closed_count,noun,verb,adjective,adverb,auxiliary,conjunctions,determiners,prepositions,pronouns
scroll,open,2,0,1,1,0,0,0,0,0,0,0
magnificent,open,1,0,0,0,1,0,0,0,0,0,0
scripts,open,2,0,1,1,0,0,0,0,0,0,0
greatly,open,1,0,0,0,0,1,0,0,0,0,0
gladly,open,1,0,0,0,0,1,0,0,0,0,0
analysing,ambiguous,0,0,0,0,0,0,0,0,0,0,0
household,open,2,0,1,0,1,0,0,0,0,0,0
charging,open,1,0,0,1,0,0,0,0,0,0,0
busy,open,2,0,0,1,1,0,0,0,0,0,0
bahot,ambiguous,0,0,0,0,0,0,0,0,0,0,0
coworker,open,1,0,1,0,0,0,0,0,0,0,0
committing,open,1,0,0,1,0,0,0,0,0,0,0
follow,open,1,0,0,1,0,0,0,0,0,0,0
window,open,1,0,1,0,0,0,0,0,0,0,0
dusra,ambiguous,0,0,0,0,0,0,0,0,0,0,0
wider,open,1,0,0,0,1,0,0,0,0,0,0
kai,ambiguous,0,0,0,0,0,0,0,0,0,0,0
lee,open,2,0,1,0,1,0,0,0,0,0,0
vocal,open,2,0,1,0,1,0,0,0,0,0,0
account,open,2,0,1,1,0,0,0,0,0,0,0
sharply,open,1,0,0,0,0,1,0,0,0,0,0
complete,open,2,0,0,1,1,0,0,0,0,0,0
show,open,2,0,1,1,0,0,0,0,0,0,0
hoodie,open,1,0,1,0,0,0,0,0,0,0,0
most,open,2,0,0,0,1,1,0,0,0,0,0
flying,open,3,0,0,1,1,1,0,0,0,0,0
computing,ambiguous,0,0,0,0,0,0,0,0,0,0,0
comfortably,open,1,0,0,0,0,1,0,0,0,0,0
blast,open,2,0,1,1,0,0,0,0,0,0,0
wali,open,1,0,1,0,0,0,0,0,0,0,0
threats,open,1,0,1,0,0,0,0,0,0,0,0
bells,open,2,0,1,1,0,0,0,0,0,0,0
aisa,ambiguous,0,0,0,0,0,0,0,0,0,0,0
reward,open,2,0,1,1,0,0,0,0,0,0,0
inr,ambiguous,0,0,0,0,0,0,0,0,0,0,0
exceeds,open,1,0,0,1,0,0,0,0,0,0,0
paused,open,1,0,0,1,0,0,0,0,0,0,0
january,open,1,0,1,0,0,0,0,0,0,0,0
comfortable,open,2,0,1,0,1,0,0,0,0,0,0
substantially,open,1,0,0,0,0,1,0,0,0,0,0
external,open,2,0,1,0,1,0,0,0,0,0,0
replying,ambiguous,0,0,0,0,0,0,0,0,0,0,0
pixar,ambiguous,0,0,0,0,0,0,0,0,0,0,0
failure,open,1,0,1,0,0,0,0,0,0,0,0
upgrading,open,1,0,0,1,0,0,0,0,0,0,0
western,open,2,0,1,0,1,0,0,0,0,0,0
ali,open,1,0,1,0,0,0,0,0,0,0,0
mixed,open,2,0,0,1,1,0,0,0,0,0,0
post,open,4,0,1,1,1,1,0,0,0,0,0
text,open,1,0,1,0,0,0,0,0,0,0,0
option,open,1,0,1,0,0,0,0,0,0,0,0
baddest,ambiguous,0,0,0,0,0,0,0,0,0,0,0
hurts,open,2,0,1,1,0,0,0,0,0,0,0
browsers,open,1,0,1,0,0,0,0,0,0,0,0
bot,open,1,0,1,0,0,0,0,0,0,0,0
mislead,open,1,0,0,1,0,0,0,0,0,0,0
informed,open,2,0,0,1,1,0,0,0,0,0,0
massage,open,2,0,1,1,0,0,0,0,0,0,0
poems,open,1,0,1,0,0,0,0,0,0,0,0
attract,open,1,0,0,1,0,0,0,0,0,0,0
comprehension,open,1,0,1,0,0,0,0,0,0,0,0
like,open,4,1,1,1,1,1,0,1,0,0,0
high,open,3,0,1,0,1,1,0,0,0,0,0
solder,open,2,0,1,1,0,0,0,0,0,0,0
ho,open,1,0,1,0,0,0,0,0,0,0,0
filters,open,2,0,1,1,0,0,0,0,0,0,0
argue,open,1,0,0,1,0,0,0,0,0,0,0
please,open,2,0,0,1,0,1,0,0,0,0,0
spotify,ambiguous,0,0,0,0,0,0,0,0,0,0,0
formats,open,2,0,1,1,0,0,0,0,0,0,0
disconnected,open,2,0,0,1,1,0,0,0,0,0,0
exercise,open,2,0,1,1,0,0,0,0,0,0,0
grows,open,1,0,0,1,0,0,0,0,0,0,0
graphics,open,1,0,1,0,0,0,0,0,0,0,0
tailored,open,1,0,0,0,1,0,0,0,0,0,0
unpinned,open,1,0,0,1,0,0,0,0,0,0,0
sentient,open,2,0,1,0,1,0,0,0,0,0,0
maintains,open,1,0,0,1,0,0,0,0,0,0,0
nudity,ambiguous,0,0,0,0,0,0,0,0,0,0,0
exit,open,2,0,1,1,0,0,0,0,0,0,0
attempt,open,1,0,1,0,0,0,0,0,0,0,0
tree,open,2,0,1,1,0,0,0,0,0,0,0
lab,open,1,0,1,0,0,0,0,0,0,0,0
damned,open,3,0,1,0,1,1,0,0,0,0,0
unbeatable,open,2,0,1,0,1,0,0,0,0,0,0
hulk,open,1,0,1,0,0,0,0,0,0,0,0
enjoyed,open,1,0,0,1,0,0,0,0,0,0,0
filter,open,2,0,1,1,0,0,0,0,0,0,0
corrupted,open,2,0,0,1,1,0,0,0,0,0,0
entha,ambiguous,0,0,0,0,0,0,0,0,0,0,0
wicked,open,1,0,0,0,1,0,0,0,0,0,0
comeback,open,1,0,1,0,0,0,0,0,0,0,0
identifying,open,2,0,0,1,1,0,0,0,0,0,0
karun,ambiguous,0,0,0,0,0,0,0,0,0,0,0
applied,open,2,0,0,1,1,0,0,0,0,0,0
exactly,open,1,0,0,0,0,1,0,0,0,0,0
courses,open,2,0,1,1,0,0,0,0,0,0,0
business,open,2,0,1,0,1,0,0,0,0,0,0
recent,open,1,0,0,0,1,0,0,0,0,0,0
headphones,open,1,0,1,0,0,0,0,0,0,0,0
bounce,open,2,0,1,1,0,0,0,0,0,0,0
monkey,open,1,0,1,0,0,0,0,0,0,0,0
let,open,2,0,1,1,0,0,0,0,0,0,0
jawline,open,1,0,1,0,0,0,0,0,0,0,0
burning,open,3,0,1,1,1,0,0,0,0,0,0
worthy,open,2,0,1,0,1,0,0,0,0,0,0
novelty,open,1,0,1,0,0,0,0,0,0,0,0
impacts,open,2,0,1,1,0,0,0,0,0,0,0
recomend,ambiguous,0,0,0,0,0,0,0,0,0,0,0
button,open,2,0,1,1,0,0,0,0,0,0,0
we're,ambiguous,0,0,0,0,0,0,0,0,0,0,0
substance,open,1,0,1,0,0,0,0,0,0,0,0
excuses,open,2,0,1,1,0,0,0,0,0,0,0
apple,open,1,0,1,0,0,0,0,0,0,0,0
invasive,open,2,0,1,0,1,0,0,0,0,0,0
relay,open,2,0,1,1,0,0,0,0,0,0,0
serve,open,2,0,1,1,0,0,0,0,0,0,0
manner,open,1,0,1,0,0,0,0,0,0,0,0
ultra,open,2,0,1,0,1,0,0,0,0,0,0
ambassador,open,1,0,1,0,0,0,0,0,0,0,0
suffering,open,2,0,1,0,1,0,0,0,0,0,0
artifacts,open,1,0,1,0,0,0,0,0,0,0,0
fantastic,open,1,0,0,0,1,0,0,0,0,0,0
krti,ambiguous,0,0,0,0,0,0,0,0,0,0,0
anyone's,ambiguous,0,0,0,0,0,0,0,0,0,0,0
either,closed,1,2,0,0,0,1,0,1,0,0,1
internal,open,1,0,0,0,1,0,0,0,0,0,0
void,open,3,0,1,1,1,0,0,0,0,0,0
marvellous,open,1,0,0,0,1,0,0,0,0,0,0
environmental,open,1,0,0,0,1,0,0,0,0,0,0
chatgpt,ambiguous,0,0,0,0,0,0,0,0,0,0,0
political,open,2,0,1,0,1,0,0,0,0,0,0
chinese,open,2,0,1,0,1,0,0,0,0,0,0
orange,open,2,0,1,0,1,0,0,0,0,0,0
single,open,3,0,1,1,1,0,0,0,0,0,0
arrangement,open,1,0,1,0,0,0,0,0,0,0,0
dumbed,ambiguous,0,0,0,0,0,0,0,0,0,0,0
tied,open,2,0,0,1,1,0,0,0,0,0,0
proper,open,2,0,0,0,1,1,0,0,0,0,0
tone,open,2,0,1,1,0,0,0,0,0,0,0
vaise,ambiguous,0,0,0,0,0,0,0,0,0,0,0
things,open,1,0,1,0,0,0,0,0,0,0,0
dialog,open,1,0,1,0,0,0,0,0,0,0,0
switched,open,1,0,0,1,0,0,0,0,0,0,0
algebra,open,1,0,1,0,0,0,0,0,0,0,0
interrupted,open,2,0,0,1,1,0,0,0,0,0,0
jarvis,ambiguous,0,0,0,0,0,0,0,0,0,0,0
reflection,open,1,0,1,0,0,0,0,0,0,0,0
renew,ambiguous,0,0,0,0,0,0,0,0,0,0,0
ab,open,1,0,1,0,0,0,0,0,0,0,0
furious,open,1,0,0,0,1,0,0,0,0,0,0
beat,open,3,0,1,1,1,0,0,0,0,0,0
lowest,open,2,0,0,0,1,1,0,0,0,0,0
vent,open,2,0,1,1,0,0,0,0,0,0,0
colorful,open,1,0,0,0,1,0,0,0,0,0,0
sufficient,open,1,0,0,0,1,0,0,0,0,0,0
touching,open,2,0,0,1,1,0,0,0,0,0,0
areas,open,1,0,1,0,0,0,0,0,0,0,0
galat,ambiguous,0,0,0,0,0,0,0,0,0,0,0
govt,ambiguous,0,0,0,0,0,0,0,0,0,0,0
reuse,open,1,0,1,0,0,0,0,0,0,0,0
goat,open,1,0,1,0,0,0,0,0,0,0,0
involve,open,1,0,0,1,0,0,0,0,0,0,0
fulfilled,open,1,0,0,0,1,0,0,0,0,0,0
official,open,2,0,1,0,1,0,0,0,0,0,0
factory,open,1,0,1,0,0,0,0,0,0,0,0
talks,open,2,0,1,1,0,0,0,0,0,0,0
worksheets,open,1,0,1,0,0,0,0,0,0,0,0
happened,ambiguous,0,0,0,0,0,0,0,0,0,0,0
leaps,open,2,0,1,1,0,0,0,0,0,0,0
contracts,open,2,0,1,1,0,0,0,0,0,0,0
handling,open,2,0,1,1,0,0,0,0,0,0,0
sooner,open,2,0,1,0,0,1,0,0,0,0,0
drive,open,2,0,1,1,0,0,0,0,0,0,0
pop,open,4,0,1,1,1,1,0,0,0,0,0
behavior,open,1,0,1,0,0,0,0,0,0,0,0
typed,open,2,0,0,1,1,0,0,0,0,0,0
presentation,open,1,0,1,0,0,0,0,0,0,0,0
grading,open,2,0,1,1,0,0,0,0,0,0,0
refining,open,2,0,1,1,0,0,0,0,0,0,0
developed,open,1,0,0,0,1,0,0,0,0,0,0
motivated,open,2,0,0,1,1,0,0,0,0,0,0
brilliantly,open,1,0,0,0,0,1,0,0,0,0,0
man,open,3,0,1,1,1,0,0,0,0,0,0
keys,open,2,0,1,1,0,0,0,0,0,0,0
epic,open,2,0,1,0,1,0,0,0,0,0,0
log,open,3,0,1,1,1,0,0,0,0,0,0
depending,open,1,0,0,1,0,0,0,0,0,0,0
applause,open,1,0,1,0,0,0,0,0,0,0,0
hamare,ambiguous,0,0,0,0,0,0,0,0,0,0,0
coding,open,2,0,1,1,0,0,0,0,0,0,0
chase,open,2,0,1,1,0,0,0,0,0,0,0
connecting,open,2,0,0,1,1,0,0,0,0,0,0
totally,open,1,0,0,0,0,1,0,0,0,0,0
content,open,3,0,1,1,1,0,0,0,0,0,0
head,open,3,0,1,1,1,0,0,0,0,0,0
preserving,open,2,0,0,1,1,0,0,0,0,0,0
computers,open,1,0,1,0,0,0,0,0,0,0,0
freely,open,1,0,0,0,0,1,0,0,0,0,0
exploding,open,2,0,0,1,1,0,0,0,0,0,0
